artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Mitski,Bury Me At Makeout Creek,Townie,2HUIm4ZmwC5aIEQQakmgO4,0.31,0.884,1,-3.484,1,0.0567,3.33e-06,0.121,0.276,137.755,205080,4
Holladay,Done Giving Out My Heart (Tremble),Done Giving Out My Heart (Tremble),3jOKxnOhCR7tqZIZE0V1Gq,0.679,0.664,6,-5.176,0,0.0607,0.00937,0.0833,0.304,100.975,204409,4
Car Seat Headrest,Teens of Denial,Drunk Drivers/Killer Whales,2os0aK782bakCPmjow0SU0,0.534,0.414,2,-7.952,1,0.0403,2.11e-06,0.103,0.458,117.079,374653,4
Mndsgn,Yawn Zen,Camelblues,6AQobWDXD64OnrlmIeZaja,0.594,0.304,9,-15.353,0,0.029,0.198,0.0933,0.13,79.994,152985,4
Rex Orange County,Apricot Princess,Untitled,3PbV3ocgAp3Xn0omGFC0cG,0.567,0.199,9,-9.601,1,0.101,0.0,0.131,0.329,83.827,135707,5
Fleece,Scavenger,Chocolate Milk,6tuUK4S96k9YJCG3YMi7BD,0.157,0.307,4,-11.874,1,0.0338,0.534,0.101,0.16,94.998,260625,4
Thunder Fox,Don't Forget the Cherries,Sex & Food,3RStR7p51pffJX4X9LSb8v,0.414,0.285,7,-8.381,0,0.0376,0.000447,0.0786,0.244,102.719,412511,3
Why These Coyotes,Dance Around the Fire,Dance Around the Fire,6oDXwSPWcp7KT2B3funF8y,0.654,0.443,6,-9.301,1,0.0303,1.02e-05,0.122,0.52,80.508,200870,4
Steady Sun,F L O R A,Lover Knows,3p9lpYAXNdPqlwbmddg4j9,0.48,0.478,4,-7.905,0,0.0289,0.225,0.121,0.428,144.066,177145,4
Jindie,She Makes Me Wanna Die,She Makes Me Wanna Die,3ykudmdDtj6yFRNMawbM9S,0.532,0.477,2,-10.463,1,0.0273,0.000275,0.153,0.399,95.157,209132,4
Strongboy,Steady (Album),Steady,1GNOZv7orp4cdWCjsQWjpa,0.369,0.532,7,-9.8,1,0.0282,0.698,0.305,0.218,94.071,254928,4
SALES,SALES LP,Big Sis,0ARp9mXXpPflIwehy25kCa,0.825,0.482,2,-8.29,1,0.0378,0.209,0.101,0.338,99.991,166400,4
Low Hum,Nebraska,Nebraska,5lntlcazHIqlQeT3vWnxjQ,0.48,0.601,7,-7.497,0,0.0284,0.0218,0.117,0.434,146.073,310001,4
Soft Eyez,Pink Paradise,Lullaby,3TVgyBO7oxrotkJ2PSUsiV,0.699,0.386,2,-10.302,1,0.0597,0.416,0.276,0.113,172.038,139586,4
Renata Zeiguer,Old Ghost,Follow Me Down,0Jw8tZTGVZTjshnjboLVch,0.28,0.442,4,-7.949,1,0.038,0.0473,0.248,0.557,79.03,273552,4
Ceramic Animal,The Horse,So Familiar,4PIv0OYuhkqGswlBqHx3ZG,0.46,0.634,7,-8.901,0,0.0362,0.00731,0.0743,0.452,144.094,250297,4
Omar Apollo,Unbothered,Unbothered,3PoKFnMD0zAVtQrkJ4e8XH,0.641,0.487,2,-7.098,1,0.03,0.00223,0.133,0.322,108.933,124954,4
Omar Apollo,Brakelights,Brakelights,5bJ3cuvn0fMdSV8tkJVpNY,0.693,0.421,7,-7.735,1,0.0386,0.0217,0.0838,0.259,124.062,168387,3
The Walters,Songs for Dads,I Love You So,1175r6ZmkUjX8dRJLz9Ohk,0.578,0.669,10,-4.898,1,0.0377,0.0,0.13,0.503,75.995,160254,4
Erik Phillips,One,Don't Say Hi,6Agdv6Joig75SkG14rzGUo,0.727,0.158,0,-17.812,1,0.0368,0.518,0.145,0.676,134.705,133759,4
The Greeting Committee,Meeting People Is Easy,She's A Gun,7CrTWohCuzWE9VqeErADr8,0.406,0.981,1,-2.752,0,0.0507,2.09e-05,0.0493,0.304,93.631,196821,4
Cage The Elephant,Melophobia,Halo,00CqEmnPLFKDhAb3cuu6Cs,0.575,0.985,2,-1.038,0,0.0743,0.0,0.161,0.477,116.006,177960,4
Arctic Monkeys,Favourite Worst Nightmare (Standard Version),Fluorescent Adolescent,7e8utCy2JlSB8dRHKi49xM,0.646,0.813,6,-5.29,0,0.0288,2.26e-05,0.144,0.821,112.115,173493,4
